# mechanism,class,implementation,test
priority,SOURCE_PRESENT+UNIT_TEST,handlers/actions/priority/PassPriorityHandler.kt,legalactions/PassPriorityEnumeratorTest;multiplayer/MultiDefenderCombatTest;multiplayer/TwoHeadedGiantTeamPriorityTest
turn structure,SOURCE_PRESENT+UNIT_TEST,core/TurnManager.kt+BeginningPhaseManager+DrawPhaseManager+CleanupPhaseManager,scenarios/BasicTurnCycleTest;multiplayer/MultiplayerSmokeTest
stack,SOURCE_PRESENT+UNIT_TEST,mechanics/stack/StackResolver.kt,mechanics/stack/CounteredAbilityTest;scenarios/StormModalRetargetingTest
cost payment,SOURCE_PRESENT+UNIT_TEST,"mechanics/cost/CostPaymentService.kt; handlers/CostHandler.kt; CastPaymentProcessor.kt; mana/CostCalculator.kt",scenarios/CostPaymentServiceTest;mana/CommanderTaxTest
mana system,SOURCE_PRESENT+UNIT_TEST,mechanics/mana/ManaPool.kt+ManaSolver.kt+ManaPaymentWindow.kt,mechanics/mana/SmartTapTest;handlers/mana/MonocolorHybridManaPaymentTest
targeting,SOURCE_PRESENT+UNIT_TEST,mechanics/targeting/TargetValidator.kt,targeting/OneTargetPerOtherPlayerTest;scenarios/TargetDistinctnessScenarioTest
declare attackers,SOURCE_PRESENT+UNIT_TEST,mechanics/combat/AttackPhaseManager.kt+handlers/actions/combat/DeclareAttackersHandler.kt,multiplayer/MultiDefenderCombatTest;multiplayer/AttackModeTest
declare blockers,SOURCE_PRESENT+UNIT_TEST,mechanics/combat/BlockPhaseManager.kt+handlers/actions/combat/DeclareBlockersHandler.kt,multiplayer/MultiDefenderCombatTest;scenarios/CombatDamageAssignmentTest
damage assignment,SOURCE_PRESENT+UNIT_TEST,mechanics/combat/CombatDamageManager.kt+CombatDamagePipeline.kt,scenarios/CombatDamageAssignmentTest;scenarios/FirstStrikeCombatTest
planeswalker/battle,PARTIAL+UNIT_TEST,"mechanics/battle/Battles.kt; loyalty/battle-excess NOT modelled (CombatDamageManager.kt:1327)",scenarios/BattleCardTypeScenarioTest;mechanics/sba/BattleProtectorCheckTest
state-based actions,SOURCE_PRESENT+UNIT_TEST,mechanics/StateBasedActionChecker.kt+mechanics/sba/*,scenarios/LegendRuleTest;scenarios/LethalDamageSbaSimultaneityTest
trigger detection,SOURCE_PRESENT+UNIT_TEST,event/TriggerDetector.kt+TriggerMatcher.kt+TriggerIndex.kt,event/TriggerDetectorBatchTriggerTest
trigger APNAP ordering,SOURCE_PRESENT+UNIT_TEST,event/TriggerMatcher.sortByApnapOrder; GameState.apnapOrder,multiplayer/MultiDefenderCombatTest;multiplayer/CommanderPodTest
trigger onto stack,SOURCE_PRESENT+UNIT_TEST,event/TriggerProcessor.kt,event/TriggerAbilityResolverTest
replacement/prevention,SOURCE_PRESENT+UNIT_TEST,replacement/ReplacementEffectProcessor.kt+PendingGameEvent.kt,scenarios/ReplacementEffectProcessorTest;multiplayer/ReplacementTeamAwarenessTest
continuous effects/layers,SOURCE_PRESENT+UNIT_TEST,mechanics/layers/StateProjector.kt+EffectSorter.kt,scenarios/ClassicLayerScenariosTest;scenarios/LayerSystemTest
copy effects,SOURCE_PRESENT+UNIT_TEST,handlers/effects/copy/CopyExceptionApplier.kt,handlers/effects/copy/CopyExceptionsTest;scenarios/StormCopyInheritsAllDecisionsTest
control changes,SOURCE_PRESENT+UNIT_TEST,handlers/effects/permanent/control/GainControlExecutor.kt+ExchangeControlExecutor.kt,multiplayer/LeaveTheGameTest;scenarios/ControllerGrantFollowsProjectedControllerTest
zone changes,SOURCE_PRESENT+UNIT_TEST,handlers/effects/ZoneTransitionService.kt,handlers/effects/zones/MoveToZoneEffectExecutorTest;handlers/effects/CommanderZoneRedirectTest
LKI,SOURCE_PRESENT+UNIT_TEST,handlers/effects/LastKnownInformation.kt,handlers/effects/LkiPolicyTest
simultaneous events,SOURCE_PRESENT+UNIT_TEST,StateBasedActionChecker.checkOnce; CombatDamageManager; DeathAndLeaveTriggerDetector,scenarios/LethalDamageSbaSimultaneityTest
elimination/leave-game,SOURCE_PRESENT+UNIT_TEST,sba/player/PlayerLeavesGameProcessor.kt+sba/game/GameEndCheck.kt,multiplayer/LeaveTheGameTest;multiplayer/CommanderPodTest
concession,SOURCE_PRESENT+UNIT_TEST,handlers/actions/special/ConcedeHandler.kt,multiplayer/LeaveTheGameTest
