scenario_id,COMBAT,COMMANDER,COSTS_MANA,DECISION_SEAM,HIDDEN_INFO,LAYERS,MULTIPLAYER,NATIVE_IDENTITY,REPLACEMENT,REPLAY,RULES_CORRECTNESS,RULES_RNG,TRIGGERS,ZONE_IDENTITY
RQ-C1-A01,0,0,0,1,0,0,0,1,1,0,0,0,0,1
RQ-C1-A02,0,0,0,0,0,0,0,0,1,0,1,0,0,0
RQ-C1-A03,0,0,1,1,0,0,0,0,1,0,1,0,0,0
RQ-C1-A04,0,0,1,1,0,0,0,0,1,0,1,0,0,0
RQ-C1-B01,0,0,0,1,0,0,1,0,0,0,1,0,1,0
RQ-C1-B02,0,0,0,0,0,0,0,1,0,0,1,0,1,1
RQ-C1-B03,0,0,0,1,0,0,0,0,0,0,1,0,1,0
RQ-C1-B04,0,0,0,1,0,0,1,0,0,0,1,0,1,0
RQ-C1-C01,0,0,1,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-C02,0,0,1,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-C03,0,0,1,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-C04,0,1,1,1,0,0,0,0,0,0,0,0,0,0
RQ-C1-D01,0,0,0,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-D02,0,0,0,1,0,0,0,1,0,0,1,0,0,0
RQ-C1-D03,0,0,0,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-D04,0,0,0,1,0,0,0,0,0,0,1,0,1,1
RQ-C1-D05,0,0,1,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-D06,0,0,0,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-E01,1,0,1,1,0,0,1,0,0,0,0,0,0,0
RQ-C1-E02,1,0,0,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-E03,1,0,0,1,0,0,0,0,0,0,1,0,0,0
RQ-C1-F01,0,0,0,1,1,0,0,0,0,1,0,1,0,0
RQ-C1-F02,0,0,0,1,1,0,0,0,0,0,1,0,0,0
RQ-C1-F03,0,0,0,1,1,0,0,1,0,0,0,0,1,0
RQ-C1-F04,0,0,0,1,1,0,0,0,0,0,1,0,0,0
RQ-C1-G01,0,0,0,1,0,0,1,0,0,0,1,0,0,0
RQ-C1-G02,0,1,1,1,0,0,0,0,0,0,0,0,0,1
RQ-C1-G03,1,1,0,0,0,0,1,0,0,0,1,0,0,0
RQ-C1-G04,0,0,0,1,0,0,1,1,0,0,1,0,0,1
RQ-C1-G05,0,0,0,1,0,0,1,0,0,0,1,0,1,0
RQ-C1-H01,0,0,0,1,0,1,0,0,0,0,1,0,0,1
RQ-C1-H02,0,0,0,1,0,1,0,0,0,0,1,0,0,0
RQ-C1-I01,0,0,0,0,0,0,0,1,0,0,1,0,0,1
RQ-C1-I02,0,0,1,0,0,0,0,1,0,0,1,0,0,1
RQ-C1-I03,0,0,1,0,0,0,0,0,0,0,1,0,1,1
RQ-C1-J01,0,0,0,0,0,0,0,0,0,1,1,1,1,0
RQ-C1-J02,1,0,0,1,0,0,0,0,0,1,0,1,1,1
RQ-C1-J03,0,0,0,0,1,0,0,0,0,1,1,1,0,0
RQ-C1-K01,0,0,0,1,0,0,1,0,0,0,1,0,1,0
RQ-C1-K02,0,0,0,1,0,0,0,0,0,0,1,0,0,1
